version: 4,,,,,,,,,,,,,,,,,,,,,,,,,,
題組 (格式相容欄位，題庫不支援),類別 (匯入線上測驗時不支援),"題型: 
(1)是非
(2)單選  
(3)複選  
(4)填充 
(5)問答
",題目,"答案
若為是非題: 
(1)答案為是
(2)答案為否","解說
(說明沒有解說)","難易度:
(1)容易
(2)適中
(3)困難","選項1
若為填充題: 
(1)不分英文大小寫
(2)區分英文大小寫","選項2 
若為填充題: 
(1)不考慮順序
(2)需考慮順序 ",選項3 ,選項4,選項5,選項6,選項7,選項8,選項9,選項10,選項11,選項12,選項13,選項14,選項15,選項16,選項17,選項18,選項19,選項20
,1.1 碳足跡與低碳生活課程介紹,2,為了達成本地淨零排放目標，台灣設定的長期宣誓年限目標為哪一年？,3,台灣與國際接軌，設定了 2050 淨零排放的政策目標。,2,2030 年淨零排放,2040 年淨零排放,2050 年淨零排放,2060 年淨零排放,,,,,,,,,,,,,,,,
,1.2 聯合國氣候變化公約,2,根據學者與科學家研究，造成全球暖化最主要的原因是哪一種氣體濃度大幅增加？,3,全球暖化最主要原因為二氧化碳排放量與濃度大幅增加。,2,氧氣,甲烷,二氧化碳,氮氣,,,,,,,,,,,,,,,,
,1.2 聯合國氣候變化公約,2,工業革命前大氣中二氧化碳濃度約為 200 多 ppm，目前濃度已超過多少 ppm？,3,大氣中二氧化碳濃度已從工業革命前的 200 多 ppm 攀升至超過 400 ppm。,2,300 ppm,350 ppm,400 ppm,500 ppm,,,,,,,,,,,,,,,,
,1.2 聯合國氣候變化公約,2,國際間第一次召開的氣候變化綱要公約締約方大會（COP 1）是在哪一年舉行？,3,1995 年舉辦了第一次氣候變化綱要公約締約方大會（COP 1）。,2,1990 年,1992 年,1995 年,1997 年,,,,,,,,,,,,,,,,
,1.2 聯合國氣候變化公約,2,1997 年在第三次締約方大會（COP 3）上所通過的重要國際氣候協定為何？,2,1997 年在 COP 3 上通過了《京都議定書》。,2,《巴黎協定》,《京都議定書》,《多哈修正案》,《蒙特婁議定書》,,,,,,,,,,,,,,,,
,1.2 聯合國氣候變化公約,2,《京都議定書》要求工業化國家將溫室氣體排放量，相較於 1990 年水準平均再減少多少？,2,《京都議定書》要求工業化國家排放量需比 1990 年水準平均再減少 5.2%。,2,2.0%,5.2%,10.0%,20.0%,,,,,,,,,,,,,,,,
,1.2 聯合國氣候變化公約,2,根據《京都議定書》，下列哪一個國家因為八成電力來自水力發電，獲准可增加碳排放？,3,挪威因 80% 電力來自水力發電，碳排放極少，因此獲准可增加排放。,2,美國,日本,挪威,德國,,,,,,,,,,,,,,,,
,1.2 聯合國氣候變化公約,2,冰島的主要發電來源為何，使其溫室氣體排放量極低？,3,冰島發電主要來自自然地熱，二氧化碳排放量極低。,2,燃煤發電,核能發電,地熱發電,天然氣發電,,,,,,,,,,,,,,,,
,1.2 聯合國氣候變化公約,2,2015 年通過的《巴黎協定》，其運作機制與《京都議定書》有何不同？,1,《巴黎協定》改變過去由上而下的強制機制，讓各國自願提交「國家自主貢獻」（INDC）由下而上進行減量。,2,改採「由下而上」的「國家自主貢獻」（INDC）自願減量,強制處罰未達標國家,僅針對未開發國家進行約束,完全取消資訊透明查核,,,,,,,,,,,,,,,,
,1.2 聯合國氣候變化公約,2,《巴黎協定》設定的全球長期控溫目標，是希望將升溫控制在比工業化前增加攝氏多少度以內？,2,《巴黎協定》將全球平均溫升控制目標設定在比工業化前增加 2°C 以內，並設法以 1.5°C 為目標。,2,1 度,2 度,3 度,4 度,,,,,,,,,,,,,,,,
,1.2 聯合國氣候變化公約,2,目前全球溫室氣體總排放量占比最高的國家是哪一個？,2,中國大陸二氧化碳排放量約占全球 20%，為全球最高。,2,美國,中國大陸,印度,日本,,,,,,,,,,,,,,,,
,1.2 聯合國氣候變化公約,2,台灣的二氧化碳總排放量約占全球總排放量的多少比例？,2,台灣二氧化碳排放量占全球約 0.71%，全球排名第 28 名。,2,0.10%,0.71%,2.50%,5.00%,,,,,,,,,,,,,,,,
,1.2 聯合國氣候變化公約,2,台灣平均每人每年的二氧化碳排放量大約落在多少公噸之間？,3,台灣人均二氧化碳排放量偏高，平均每人每年約 10 至 12 公噸。,2,1 至 2 公噸,3 至 5 公噸,10 至 12 公噸,20 至 25 公噸,,,,,,,,,,,,,,,,
,1.2 聯合國氣候變化公約,2,台灣政府針對 2030 年宣示的溫室氣體排放目標為企圖減量多少？,3,台灣宣示 2030 年溫室氣體排放企圖減量 50%。,2,10%,20%,50%,100%,,,,,,,,,,,,,,,,
,1.2 聯合國氣候變化公約,2,課程中提到台灣自來水價格相當便宜，一公噸（一度）自來水價格大約是多少元？,2,台灣自來水價格相當便宜，一度（一公噸）僅約 9 元。,2,5 元,9 元,20 元,50 元,,,,,,,,,,,,,,,,
,1.2 聯合國氣候變化公約,2,2023 年在杜拜召開的第 28 次氣候大會（COP 28），宣誓在 2030 年前再生能源建置量要增加幾倍？,2,COP 28 大會宣誓在 2030 年前再生能源建置量要增加至 3 倍。,2,2 倍,3 倍,5 倍,10 倍,,,,,,,,,,,,,,,,
